SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,7010 Herbert Guice Way,Oakland,CA,94621,199000,1,1.0,Oakland,364,2300,1928,16,547,,Active,,,http://www.redfin.com/CA/Oakland/7010-Herbert-Guice-Way-94621/home/1952679,San Francisco MLS,479518,N,Y,37.7595117,-122.1902804
MLS Listing,,Single Family Residential,561 Aileen St,Oakland,CA,94609,1298888,3,2.0,Idora Park,2234,4400,1931,16,581,,Active,December-30-2018 01:00 PM,December-30-2018 04:00 PM,http://www.redfin.com/CA/Oakland/561-Aileen-St-94609/home/1963933,Bridge MLS,40848281,N,Y,37.8417249,-122.2634613
MLS Listing,,Vacant Land,1074 Rispin Dr,Oakland,CA,94603,269000,,,Oakland,,28096,,16,,,Active,,,http://www.redfin.com/CA/Oakland/1074-Rispin-Dr-94603/home/148493770,Bridge MLS,40848268,N,Y,37.7355719,-122.1802812
MLS Listing,,Single Family Residential,9869 Toler Ave,Oakland,CA,94603,699000,5,2.0,Oakland,1736,3160,1967,16,403,,Active,,,http://www.redfin.com/CA/Oakland/9869-Toler-Ave-94603/home/945059,CRMLS,OC18291576,N,Y,37.7472076,-122.15977
MLS Listing,,Single Family Residential,182 6Th St,Oakland,CA,94607,729000,6,3.0,China Town,1408,2500,1896,16,518,,Active,,,http://www.redfin.com/CA/Oakland/182-6th-St-94607/home/524559,Bridge MLS,40848226,N,Y,37.7965197,-122.2680694
MLS Listing,,Single Family Residential,2124 99Th Ave,Oakland,CA,94603,550000,3,2.0,Las Palmas,1041,7500,1912,16,528,,Active,December-30-2018 02:00 PM,December-30-2018 04:00 PM,http://www.redfin.com/CA/Oakland/2124-99th-Ave-94603/home/1564220,Bridge MLS,40848214,N,Y,37.7457811,-122.160657
MLS Listing,,Single Family Residential,1134 53rd St,Oakland,CA,94608,799000,2,2.0,Nobe,1050,3210,1912,17,761,,Active,,,http://www.redfin.com/CA/Oakland/1134-53rd-St-94608/home/529146,Bridge MLS,40848185,N,Y,37.8371346,-122.2830888
MLS Listing,,Single Family Residential,847 30th St,Oakland,CA,94608-4509,689000,4,2.0,West Oakland,1512,3500,1900,17,456,,Active,,,http://www.redfin.com/CA/Oakland/847-30th-St-94608/home/810734,Bridge MLS,40848183,N,Y,37.8200815,-122.2749369
MLS Listing,,Single Family Residential,1078 16th St,Oakland,CA,94607,499000,2,1.0,West Oakland,614,1320,1916,17,813,,Active,,,http://www.redfin.com/CA/Oakland/1078-16th-St-94607/home/1992085,Bridge MLS,40848178,N,Y,37.8108738,-122.2839748
MLS Listing,,Multi-Family (2-4 Unit),1257 75Th Ave,Oakland,CA,94621,838000,8,4.0,Oakland,3112,10000,1943,17,269,,Active,,,http://www.redfin.com/CA/Oakland/1257-75th-Ave-94621/home/1843562,Bridge MLS,40848172,N,Y,37.757953,-122.187118
MLS Listing,,Multi-Family (2-4 Unit),1711 27Th Ave,Oakland,CA,94601,669500,4,4.0,Oakland,3220,4013,1932,17,208,,Active,,,http://www.redfin.com/CA/Oakland/1711-27th-Ave-94601/home/2113459,Bridge MLS,40848162,N,Y,37.7835172,-122.2290097
MLS Listing,,Single Family Residential,1649 34Th Ave,Oakland,CA,94601,599000,5,2.0,Fruitvale Distr,2242,4000,1915,17,267,,Active,,,http://www.redfin.com/CA/Oakland/1649-34th-Ave-94601/home/1913896,Bridge MLS,40848153,N,Y,37.7805993,-122.222112
MLS Listing,,Single Family Residential,9915 B St,Oakland,CA,94603,499000,3,2.5,Oakland,1224,3750,1917,17,408,,Active,January-6-2019 01:30 PM,January-6-2019 04:00 PM,http://www.redfin.com/CA/Oakland/9915-B-St-94603/home/1458751,Bridge MLS,40848138,N,Y,37.7416077,-122.1733854
MLS Listing,,Single Family Residential,1166 Elmhurst Ave,Oakland,CA,94603,529999,5,2.0,Elmhurst,1380,3220,1925,18,384,,Active,,,http://www.redfin.com/CA/Oakland/1166-Elmhurst-Ave-94603/home/587182,Bridge MLS,40848108,N,Y,37.7440693,-122.1754697
MLS Listing,,Vacant Land,0 Glendome Cir,Oakland,CA,94602,60000,,,Oakland,,3631,,18,,,Active,,,http://www.redfin.com/CA/Oakland/Glendome-Cir-94602/home/22705505,Bridge MLS,40848090,N,Y,37.81303,-122.219091
MLS Listing,,Single Family Residential,1115 84th Ave,Oakland,CA,94621,300000,2,1.0,East Oakland,765,5200,1940,18,392,,Active,,,http://www.redfin.com/CA/Oakland/1115-84th-Ave-94621/home/583532,Bridge MLS,40848088,N,Y,37.7520818,-122.182443
MLS Listing,,Single Family Residential,1020 Willow St,Oakland,CA,94607,868000,4,4.0,West Oakland,2000,2430,1895,18,434,,Active,December-30-2018 01:30 PM,December-30-2018 04:00 PM,http://www.redfin.com/CA/Oakland/1020-Willow-St-94607/home/1139687,Bridge MLS,40848075,N,Y,37.8099787,-122.2984272
MLS Listing,,Multi-Family (2-4 Unit),1630 Sunshine Ct,Oakland,CA,94621,725000,6,3.0,,2929,,1952,19,248,,Active,,,http://www.redfin.com/CA/Oakland/1630-Sunshine-Ct-94621/home/1981531,SDMLS,180067148,N,Y,37.7597954,-122.1832301
MLS Listing,,Single Family Residential,15 Perth Pl,Berkeley,CA,94705,2799888,4,4.0,Claremont Hills,4200,6856,2019,19,667,,Active,,,http://www.redfin.com/CA/Berkeley/15-Perth-Pl-94705/home/148446852,Bridge MLS,40847997,N,Y,37.8592038,-122.2325436
MLS Listing,,Multi-Family (2-4 Unit),1753 16Th Ave,Oakland,CA,94606,895000,6,4.0,San Antonio Park,4074,5520,1910,19,220,,Active,,,http://www.redfin.com/CA/Oakland/1753-16th-Ave-94606/home/1701762,Bridge MLS,40847992,N,Y,37.7916186,-122.2414369
MLS Listing,,Single Family Residential,3738 Virden Ave,Oakland,CA,94619-1537,699998,3,2.0,Redwood Heights,1689,4136,1950,19,414,,Active,,,http://www.redfin.com/CA/Oakland/3738-Virden-Ave-94619/home/1666999,Bridge MLS,40847988,N,Y,37.7957372,-122.1908125
MLS Listing,,Vacant Land,1223 33Rd Ave,Oakland,CA,94601,995000,,,Fruitvale,,7592,,20,,,Active,,,http://www.redfin.com/CA/Oakland/1223-33rd-Ave-94601/home/148443642,Bridge MLS,40847980,N,Y,37.776409,-122.225338
MLS Listing,,Single Family Residential,2251 87TH Ave,Oakland,CA,94605,379900,3,1.0,East Oakland,1364,3300,1921,20,279,,Active,,,http://www.redfin.com/CA/Oakland/2251-87th-Ave-94605/home/586305,Bridge MLS,40847975,N,Y,37.7564162,-122.1661899
MLS Listing,,Multi-Family (2-4 Unit),1623 34th Ave,Oakland,CA,94601,740000,4,4.0,Oakland,2425,5480,1957,20,305,,Active,,,http://www.redfin.com/CA/Oakland/1623-34th-Ave-94601/home/552090,Bridge MLS,40847974,N,Y,37.7802335,-122.2223337
MLS Listing,,Single Family Residential,3149 64th Ave,Oakland,CA,94605,525000,4,2.0,Chevrolet Park,1666,6300,1925,20,315,,Active,,,http://www.redfin.com/CA/Oakland/3149-64th-Ave-94605/home/561950,Bridge MLS,40847969,N,Y,37.7731566,-122.1812346
MLS Listing,,Multi-Family (2-4 Unit),5711 Gaskill St,Oakland,CA,94608,925000,5,2.0,Oakland,2000,4000,1908,21,463,,Active,December-30-2018 02:00 PM,December-30-2018 04:00 PM,http://www.redfin.com/CA/Oakland/5711-Gaskill-St-94608/home/1495252,Bridge MLS,40847919,Y,Y,37.840954,-122.280921
